RUN	viade.Simulation2	simulation2	1588099105164	Miscelanea, ramp up 50 users in 60 seconds	3.3.1
REQUEST	6		request_4	1588099119175	1588099120425	OK	 
REQUEST	9		request_3	1588099120031	1588099120455	OK	 
REQUEST	8		request_3 Redirect 1	1588099120279	1588099120474	OK	 
REQUEST	11		request_1	1588099119821	1588099120485	OK	 
REQUEST	12		auth-buttons.js	1588099119769	1588099120502	OK	 
REQUEST	12		solid.css	1588099119768	1588099120502	OK	 
REQUEST	6		mash.css	1588099120426	1588099120536	OK	 
REQUEST	13		request_0	1588099120074	1588099120582	OK	 
REQUEST	5		request_16	1588099119566	1588099120711	OK	 
REQUEST	9		request_3 Redirect 1	1588099120456	1588099120722	OK	 
REQUEST	10		request_2 Redirect 1	1588099120415	1588099120723	OK	 
REQUEST	8		request_3 Redirect 2	1588099120475	1588099120785	OK	 
REQUEST	10		bootstrap.min.css	1588099120724	1588099120786	OK	 
REQUEST	10		solid.css	1588099120724	1588099120787	OK	 
REQUEST	4		request_17	1588099120400	1588099120804	OK	 
REQUEST	12		solid-auth-client.bundle.js	1588099119768	1588099120804	OK	 
REQUEST	13		request_0 Redirect 1	1588099120582	1588099120905	OK	 
REQUEST	9		request_3 Redirect 2	1588099120722	1588099120920	OK	 
REQUEST	7		request_4	1588099119863	1588099120945	OK	 
REQUEST	8		request_3 Redirect 3	1588099120785	1588099121032	OK	 
USER	Simulation2	14	START	1588099121080	1588099121080
REQUEST	7		mash.css	1588099120946	1588099121212	OK	 
REQUEST	4		request_17 Redirect 1	1588099120804	1588099121736	OK	 
REQUEST	13		bootstrap.min.css	1588099120906	1588099121754	OK	 
REQUEST	9		request_3 Redirect 3	1588099120920	1588099121765	OK	 
REQUEST	11		request_2	1588099121490	1588099122023	OK	 
USER	Simulation2	15	START	1588099122073	1588099122073
REQUEST	13		auth-buttons.js	1588099120908	1588099122176	OK	 
REQUEST	13		solid.css	1588099120907	1588099122179	OK	 
REQUEST	6		request_7	1588099120428	1588099122219	OK	 
REQUEST	6		request_5	1588099120427	1588099122237	OK	 
REQUEST	4		bootstrap.min.css	1588099121738	1588099122238	OK	 
REQUEST	6		request_8	1588099120428	1588099122305	OK	 
REQUEST	13		solid-auth-client.bundle.js	1588099120907	1588099122347	OK	 
REQUEST	11		request_2 Redirect 1	1588099122024	1588099122432	OK	 
REQUEST	4		auth-buttons.js	1588099121739	1588099122441	OK	 
REQUEST	10		request_3	1588099121783	1588099122445	OK	 
REQUEST	6		request_6	1588099120427	1588099122450	OK	 
REQUEST	14		request_0	1588099121081	1588099122452	OK	 
REQUEST	4		solid.css	1588099121738	1588099122472	OK	 
REQUEST	12		request_1	1588099121825	1588099122498	OK	 
REQUEST	4		solid-auth-client.bundle.js	1588099121739	1588099122502	OK	 
USER	Simulation2	4	END	1588099109081	1588099122503
REQUEST	6		mashlib.min.js	1588099120426	1588099122512	OK	 
REQUEST	11		solid.css	1588099122432	1588099122524	OK	 
REQUEST	5		request_17	1588099121704	1588099122555	OK	 
REQUEST	15		request_0	1588099122074	1588099122593	OK	 
REQUEST	11		bootstrap.min.css	1588099122432	1588099122603	OK	 
REQUEST	10		request_3 Redirect 1	1588099122446	1588099122616	OK	 
REQUEST	7		request_5	1588099120947	1588099123266	OK	 
REQUEST	7		mashlib.min.js	1588099120946	1588099123269	OK	 
REQUEST	7		request_6	1588099120948	1588099123282	OK	 
REQUEST	10		request_3 Redirect 2	1588099122617	1588099123285	OK	 
REQUEST	7		request_8	1588099120948	1588099123308	OK	 
REQUEST	7		request_7	1588099120948	1588099123311	OK	 
REQUEST	14		request_0 Redirect 1	1588099122453	1588099123359	OK	 
REQUEST	8		request_4	1588099122033	1588099123395	OK	 
REQUEST	5		request_17 Redirect 1	1588099122555	1588099123414	OK	 
REQUEST	10		request_3 Redirect 3	1588099123285	1588099123530	OK	 
REQUEST	14		bootstrap.min.css	1588099123360	1588099123593	OK	 
REQUEST	6		request_9	1588099123513	1588099123603	OK	 
REQUEST	5		bootstrap.min.css	1588099123416	1588099123612	OK	 
REQUEST	12		request_2	1588099123492	1588099123620	OK	 
REQUEST	9		request_4	1588099122775	1588099123626	OK	 
REQUEST	8		mash.css	1588099123396	1588099123659	OK	 
REQUEST	13		request_1	1588099123361	1588099123661	OK	 
REQUEST	6		request_11	1588099123604	1588099123673	OK	 
REQUEST	14		auth-buttons.js	1588099123361	1588099123935	OK	 
REQUEST	5		solid.css	1588099123416	1588099123936	OK	 
REQUEST	14		solid.css	1588099123360	1588099123938	OK	 
REQUEST	5		auth-buttons.js	1588099123417	1588099123981	OK	 
REQUEST	9		mash.css	1588099123627	1588099123985	OK	 
REQUEST	11		request_3	1588099123600	1588099123999	OK	 
REQUEST	5		solid-auth-client.bundle.js	1588099123417	1588099124008	OK	 
USER	Simulation2	5	END	1588099110080	1588099124010
REQUEST	12		request_2 Redirect 1	1588099123620	1588099124036	OK	 
USER	Simulation2	16	START	1588099124084	1588099124084
REQUEST	11		request_3 Redirect 1	1588099124000	1588099124112	OK	 
REQUEST	12		solid.css	1588099124037	1588099124134	OK	 
REQUEST	14		solid-auth-client.bundle.js	1588099123360	1588099124162	OK	 
REQUEST	12		bootstrap.min.css	1588099124037	1588099124200	OK	 
REQUEST	6		request_10	1588099123604	1588099124442	OK	 
REQUEST	6		request_12	1588099123605	1588099124605	OK	 
REQUEST	6		request_14	1588099123605	1588099124627	OK	 
REQUEST	7		request_9	1588099124303	1588099124635	OK	 
REQUEST	6		request_15	1588099123605	1588099124804	OK	 
REQUEST	6		request_13	1588099123605	1588099124807	OK	 
REQUEST	15		request_0 Redirect 1	1588099122593	1588099124852	OK	 
REQUEST	16		request_0	1588099124084	1588099124891	OK	 
REQUEST	11		request_3 Redirect 2	1588099124112	1588099124936	OK	 
REQUEST	7		request_11	1588099124636	1588099124947	OK	 
REQUEST	6		request_16	1588099123673	1588099124978	OK	 
REQUEST	13		request_2	1588099124664	1588099124990	OK	 
REQUEST	8		request_5	1588099123397	1588099125033	OK	 
REQUEST	8		request_8	1588099123398	1588099125047	OK	 
REQUEST	8		request_6	1588099123397	1588099125057	OK	 
REQUEST	8		request_7	1588099123398	1588099125078	OK	 
USER	Simulation2	17	START	1588099125084	1588099125084
REQUEST	15		bootstrap.min.css	1588099124853	1588099125156	OK	 
REQUEST	11		request_3 Redirect 3	1588099124936	1588099125192	OK	 
REQUEST	15		auth-buttons.js	1588099124854	1588099125275	OK	 
REQUEST	15		solid.css	1588099124853	1588099125341	OK	 
REQUEST	8		mashlib.min.js	1588099123396	1588099125409	OK	 
REQUEST	15		solid-auth-client.bundle.js	1588099124853	1588099125474	OK	 
